event,signal,date,second,milisecond,tweek signs,f_signs [kHz],f_min<2kHz
17,5,20170730_173407,9.pn,353,,,
17,6,20170730_173407,9.pn,364,,,
17,7,20170730_173407,9.pn,379,,,
17,8,20170730_173407,9.pn,422,1,,
17,9,20170730_173407,9.pn,471,1,,
17,10,20170730_173407,9.pn,491,1,,
17,11,20170730_173407,9.pn,506,1,,
17,12,20170730_173407,9.pn,533,2,,
17,13,20170730_173407,9.pn,519,1,,
17,14,20170730_173407,9.pn,583,4,,
17,15,20170730_173407,9.pn,646,,,
18,1,20180602_205229,144.pn,969,,,
18,2,20180602_205229,144.pn,716,,,
18,3,20180602_205229,144.pn,701,,,
18,4,20180602_205229,144.pn,689,,,
18,5,20180602_205229,144.pn,444,,,
18,6,20180602_205229,144.pn,672,1,,
18,7,20180602_205229,144.pn,784,,,
19,1,20150927_135634,86.pn,37,,,
19,2,20150927_135634,86.pn,432,,,
19,3,20150927_135634,86.pn,70,,,
19,4,20150927_135634,86.pn,405,,,
19,5,20150927_135634,86.pn,534,,,
19,6,20150927_135634,86.pn,607,,,
19,7,20150927_135634,86.pn,735,,,
19,8,20150927_135634,86.pn,840,,,
19,9,20150927_135634,86.pn,759,,,
20,1,20150914_125711,112.pn,609,,,
20,2,20150914_125711,112.pn,625,,,
20,3,20150914_125711,112.pn,346,,,
20,4,20150914_125711,112.pn,796,,,
20,5,20150914_125711,112.pn,336,,,
21,1,20170715_124418,28.pn,188,,,
21,2,20170715_124418,28.pn,158,,,
21,3,20170715_124418,28.pn,100,,,
21,4,20170715_124418,28.pn,92,,,
21,5,20170715_124418,28.pn,588,,,
21,6,20170715_124418,28.pn,875,,,
21,7,20170715_124418,28.pn,905,,,
22,1,20150914_130211,75.pn,65,,,
22,2,20150914_130211,75.pn,148,,,
22,3,20150914_130211,75.pn,215,,,
22,4,20150914_130211,75.pn,186,,,
22,5,20150914_130211,75.pn,175,,,
22,6,20150914_130211,75.pn,344,,,
22,7,20150914_130211,75.pn,400,,,
22,8,20150914_130211,75.pn,586,,,
23,1,20160802_165440,59.pn,77,,,
23,2,20160802_165440,59.pn,100,,,
23,3,20160802_165440,59.pn,149,,,
23,4,20160802_165440,59.pn,196,,,
23,5,20160802_165440,59.pn,628,,,
23,6,20160802_165440,59.pn,645,,,
24,1,20170702_162621,8.pn,899,,,
25,1,20160814_150225,96.pn,445,,,
25,2,20160814_150225,96.pn,791,,,
25,3,20160814_150225,96.pn,891,,,
26,1,20160814_150725,26.pn,135,,,
26,2,20160814_150725,26.pn,54,,,
26,3,20160814_150725,26.pn,928,,,
26,4,20160814_150725,26.pn,197,,,
26,5,20160814_150725,26.pn,190,,,
26,6,20160814_150725,26.pn,939,,,
26,7,20160814_150725,26.pn,119,,,
27,1,20180614_121847,123.pn,292,,,
27,2,20180614_121847,123.pn,606,,,
27,3,20180614_121847,123.pn,728,,,
27,4,20180614_121847,123.pn,642,,,
27,5,20180614_121847,123.pn,764,,,
28,1,20150927_133132,78.pn,935,,,
28,2,20150927_133132,78.pn,137,,,
28,3,20150927_133132,78.pn,184,,,
28,4,20150927_133132,78.pn,881,,,
28,5,20150927_133132,78.pn,860,,,
28,6,20150927_133132,78.pn,167,1,,
28,7,20150927_133132,78.pn,773,,,
28,8,20150927_133132,78.pn,706,,,
29,1,20160814_152226,24.pn,403,,,
29,2,20160814_152226,24.pn,886,,,
29,3,20160814_152226,24.pn,26,,,
29,4,20160814_152226,24.pn,426,,,
30,1,20170715_125919,20.pn,628,,,
30,2,20170715_125919,20.pn,825,,,
30,3,20170715_125919,20.pn,950,,,
30,4,20170715_125919,20.pn,970,,,
31,1,20180629_162355,111.pn,158,,,
31,2,20180629_162355,111.pn,431,,,
32,1,20170715_124418,1.pn,742,,,
32,2,20170715_124418,1.pn,239,,,
32,3,20170715_124418,1.pn,194,,,
33,1,20150914_131212,104.pn,7,,,
33,2,20150914_131212,104.pn,72,,,
33,3,20150914_131212,104.pn,139,,,
33,4,20150914_131212,104.pn,189,,,
33,5,20150914_131212,104.pn,199,,,
33,6,20150914_131212,104.pn,351,,,
33,7,20150914_131212,104.pn,318,,,
33,8,20150914_131212,104.pn,426,,,
33,9,20150914_131212,104.pn,625,,,
33,10,20150914_131212,104.pn,644,,,
33,11,20150914_131212,104.pn,683,,,
33,12,20150914_131212,104.pn,963,1,,
33,13,20150914_131212,104.pn,1074,1,,
33,14,20150914_131212,104.pn,1079,1,,
33,15,20150914_131212,104.pn,995,1,,
33,16,20150914_131212,104.pn,925,,,
33,17,20150914_131212,104.pn,448,,,
34,1,20150902_233934,79.pn,38,,,
34,2,20150902_233934,79.pn,184,3,,
34,3,20150902_233934,79.pn,217,3,,
34,4,20150902_233934,79.pn,442,4,,
34,5,20150902_233934,79.pn,229,2,,
34,6,20150902_233934,79.pn,240,,,
34,7,20150902_233934,79.pn,247,,,
34,8,20150902_233934,79.pn,900,2,,
35,1,20160814_151726,70.pn,77,,,
36,1,20180602_210729,87.pn,71,2,,
36,2,20180602_210729,87.pn,307,2,,
36,3,20180602_210729,87.pn,417,2,,
36,4,20180602_210729,87.pn,675,,,
36,5,20180602_210729,87.pn,600,,,
36,6,20180602_210729,87.pn,754,,,
37,1,20180615_204007,35.pn,273,2,,
37,2,20180615_204007,35.pn,78,,,
37,3,20180615_204007,35.pn,849,,,
37,4,20180615_204007,35.pn,881,,,
37,5,20180615_204007,35.pn,499,2,,
37,6,20180615_204007,35.pn,521,2,,
37,7,20180615_204007,35.pn,574,,,
37,8,20180615_204007,35.pn,635,,,
37,9,20180615_204007,35.pn,466,2,,
37,10,20180615_204007,35.pn,446,,,
37,11,20180615_204007,35.pn,619,,,
38,1,20160830_191000,50.pn,570,4,,
38,2,20160830_191000,50.pn,188,,,
38,3,20160830_191000,50.pn,204,,,
38,4,20160830_191000,50.pn,212,,,
38,5,20160830_191000,50.pn,427,,,
38,6,20160830_191000,50.pn,434,,,
38,7,20160830_191000,50.pn,443,,,
38,8,20160830_191000,50.pn,452,,,
38,9,20160830_191000,50.pn,500,,,
38,10,20160830_191000,50.pn,508,,,
38,11,20160830_191000,50.pn,524,,,
38,12,20160830_191000,50.pn,534,,,
38,13,20160830_191000,50.pn,480,,,
38,14,20160830_191000,50.pn,598,,,
38,15,20160830_191000,50.pn,550,,,
38,16,20160830_191000,50.pn,651,,,
38,17,20160830_191000,50.pn,667,,,
38,18,20160830_191000,50.pn,706,,,
38,19,20160830_191000,50.pn,721,,,
38,20,20160830_191000,50.pn,738,,,
38,21,20160830_191000,50.pn,790,,,
38,22,20160830_191000,50.pn,797,,,
38,23,20160830_191000,50.pn,847,,,
38,24,20160830_191000,50.pn,865,,,
38,25,20160830_191000,50.pn,873,,,
38,26,20160830_191000,50.pn,927,,,
38,27,20160830_191000,50.pn,388,1,,
38,28,20160830_191000,50.pn,471,2,,
39,1,20170730_165406,13.pn,183,,,
39,2,20170730_165406,13.pn,520,,,
39,3,20170730_165406,13.pn,590,,,
39,4,20170730_165406,13.pn,610,,,
39,5,20170730_165406,13.pn,617,,,
39,6,20170730_165406,13.pn,710,,,
39,7,20170730_165406,13.pn,721,3,,
39,8,20170730_165406,13.pn,759,2,,
39,9,20170730_165406,13.pn,801,3,,
39,10,20170730_165406,13.pn,835,3,,
39,11,20170730_165406,13.pn,904,,,
40,1,20180614_121347,88.pn,262,1,,
40,2,20180614_121347,88.pn,320,1,,
40,3,20180614_121347,88.pn,486,,,
40,4,20180614_121347,88.pn,923,,,
40,5,20180614_121347,88.pn,400,,,
41,1,20180602_204228,124.pn,816,,,
41,2,20180602_204228,124.pn,629,,,
41,3,20180602_204228,124.pn,304,,,
41,4,20180602_204228,124.pn,796,,,
41,5,20180602_204228,124.pn,277,,,
41,6,20180602_204228,124.pn,648,3,,
41,7,20180602_204228,124.pn,641,,,
41,8,20180602_204228,124.pn,297,,,
42,1,20150914_132212,119.pn,6,,,
42,2,20150914_132212,119.pn,14,,,
42,3,20150914_132212,119.pn,295,2,,
42,4,20150914_132212,119.pn,329,,,
42,5,20150914_132212,119.pn,483,,,
42,6,20150914_132212,119.pn,499,,,
42,7,20150914_132212,119.pn,539,,,
42,8,20150914_132212,119.pn,577,,,
42,9,20150914_132212,119.pn,589,,,
42,10,20150914_132212,119.pn,631,,,
42,11,20150914_132212,119.pn,638,,,
42,12,20150914_132212,119.pn,697,,,
42,13,20150914_132212,119.pn,830,,,
42,14,20150914_132212,119.pn,713,,,
42,15,20150914_132212,119.pn,139,,,
43,1,20150914_131212,22.pn,951,,,
43,2,20150914_131212,22.pn,979,,,
43,3,20150914_131212,22.pn,905,,,
43,4,20150914_131212,22.pn,864,,,
43,5,20150914_131212,22.pn,869,,,
43,6,20150914_131212,22.pn,751,,,
43,7,20150914_131212,22.pn,551,,,
43,8,20150914_131212,22.pn,639,,,
43,9,20150914_131212,22.pn,578,,,
43,10,20150914_131212,22.pn,371,,,
43,11,20150914_131212,22.pn,120,,,
43,12,20150914_131212,22.pn,253,,,
43,13,20150914_131212,22.pn,259,,,
43,14,20150914_131212,22.pn,15,,,
43,15,20150914_131212,22.pn,346,,,
43,16,20150914_131212,22.pn,420,,,
43,17,20150914_131212,22.pn,409,,,
43,18,20150914_131212,22.pn,442,,,
43,19,20150914_131212,22.pn,478,,,
43,20,20150914_131212,22.pn,598,,,
44,1,20150914_125211,140.pn,877,,,
44,2,20150914_125211,140.pn,817,,,
44,3,20150914_125211,140.pn,602,,,
44,4,20150914_125211,140.pn,774,,,
44,5,20150914_125211,140.pn,996,,,
44,6,20150914_125211,140.pn,553,,,
44,7,20150914_125211,140.pn,540,,,
44,8,20150914_125211,140.pn,533,,,
44,9,20150914_125211,140.pn,50,,,
44,10,20150914_125211,140.pn,338,,,
44,11,20150914_125211,140.pn,270,,,
44,12,20150914_125211,140.pn,720,,,
44,13,20150914_125211,140.pn,14,,,
45,1,20170702_164121,9.pn,836,,,
45,2,20170702_164121,9.pn,912,,,
45,3,20170702_164121,9.pn,797,,,
46,1,20150902_235435,121.pn,18,4,,
46,2,20150902_235435,121.pn,46,3,,
46,3,20150902_235435,121.pn,78,2,,
46,4,20150902_235435,121.pn,92,,,
46,5,20150902_235435,121.pn,100,,,
46,6,20150902_235435,121.pn,109,,,
46,7,20150902_235435,121.pn,117,,,
46,8,20150902_235435,121.pn,145,,,
46,9,20150902_235435,121.pn,252,,,
46,10,20150902_235435,121.pn,269,4,,
46,11,20150902_235435,121.pn,491,,,
46,12,20150902_235435,121.pn,506,,,
46,13,20150902_235435,121.pn,551,,,
46,14,20150902_235435,121.pn,596,,,
46,15,20150902_235435,121.pn,652,,,
46,16,20150902_235435,121.pn,661,,,
46,17,20150902_235435,121.pn,338,,,
46,18,20150902_235435,121.pn,381,,,
47,1,20160802_162939,60.pn,15,,,
48,1,20180602_210229,105.pn,317,3,,
48,2,20180602_210229,105.pn,419,2,,
48,3,20180602_210229,105.pn,376,1,,
48,4,20180602_210229,105.pn,511,,,
48,5,20180602_210229,105.pn,647,,,
48,6,20180602_210229,105.pn,538,,,
48,7,20180602_210229,105.pn,596,,,
48,8,20180602_210229,105.pn,566,,,
48,9,20180602_210229,105.pn,806,,,
48,10,20180602_210229,105.pn,922,,,
49,1,20170714_153824,106.pn,503,,,
49,2,20170714_153824,106.pn,517,,,
49,3,20170714_153824,106.pn,590,,,
49,4,20170714_153824,106.pn,692,,,
49,5,20170714_153824,106.pn,652,1,,
49,6,20170714_153824,106.pn,568,1,,
50,1,20150915_190334,90.pn,300,,,
50,2,20150915_190334,90.pn,462,,,
50,3,20150915_190334,90.pn,47,,,
50,4,20150915_190334,90.pn,353,,,
50,5,20150915_190334,90.pn,517,,,
50,6,20150915_190334,90.pn,525,,,
50,7,20150915_190334,90.pn,687,,,
50,8,20150915_190334,90.pn,793,,,
50,9,20150915_190334,90.pn,745,,,
50,10,20150915_190334,90.pn,837,,,
50,11,20150915_190334,90.pn,855,,,
50,12,20150915_190334,90.pn,864,,,
50,13,20150915_190334,90.pn,993,,,
50,14,20150915_190334,90.pn,63,,,
50,15,20150915_190334,90.pn,20,,,
50,16,20150915_190334,90.pn,916,,,
50,17,20150915_190334,90.pn,878,,,
51,1,20150914_130712,55.pn,980,,,
51,2,20150914_130712,55.pn,954,,,
51,3,20150914_130712,55.pn,798,,,
51,4,20150914_130712,55.pn,785,,,
51,5,20150914_130712,55.pn,624,,,
51,6,20150914_130712,55.pn,590,,,
51,7,20150914_130712,55.pn,510,,,
51,8,20150914_130712,55.pn,438,,,
51,9,20150914_130712,55.pn,44,,,
51,10,20150914_130712,55.pn,51,,,
51,11,20150914_130712,55.pn,115,,,
51,12,20150914_130712,55.pn,157,,,
51,13,20150914_130712,55.pn,426,,,
51,14,20150914_130712,55.pn,462,,,
52,1,20170714_160825,90.pn,918,,,
52,2,20170714_160825,90.pn,982,,,
53,1,20180615_195005,19.pn,140,,,
53,2,20180615_195005,19.pn,264,,,
53,3,20180615_195005,19.pn,321,,,
53,4,20180615_195005,19.pn,336,,,
53,5,20180615_195005,19.pn,381,,,
53,6,20180615_195005,19.pn,487,,,
53,7,20180615_195005,19.pn,506,,,
53,8,20180615_195005,19.pn,547,,,
53,9,20180615_195005,19.pn,658,2,,
53,10,20180615_195005,19.pn,838,,,
53,11,20180615_195005,19.pn,899,,,
54,1,20150914_130211,3.pn,154,,,
54,2,20150914_130211,3.pn,191,,,
54,3,20150914_130211,3.pn,20,,,
54,4,20150914_130211,3.pn,206,,,
54,5,20150914_130211,3.pn,214,,,
54,6,20150914_130211,3.pn,225,,,
54,7,20150914_130211,3.pn,249,,,
54,8,20150914_130211,3.pn,368,1,,
54,9,20150914_130211,3.pn,477,,,
54,10,20150914_130211,3.pn,585,,,
54,11,20150914_130211,3.pn,642,,,
54,12,20150914_130211,3.pn,704,,,
54,13,20150914_130211,3.pn,738,,,
54,14,20150914_130211,3.pn,883,,,
54,15,20150914_130211,3.pn,930,,,
55,1,20150902_230432,38.pn,376,5,,
55,2,20150902_230432,38.pn,559,4,,
55,3,20150902_230432,38.pn,609,,,
55,4,20150902_230432,38.pn,632,,,
55,5,20150902_230432,38.pn,673,,,
55,6,20150902_230432,38.pn,739,,,
55,7,20150902_230432,38.pn,328,,,
55,8,20150902_230432,38.pn,868,,,
56,1,20170715_122418,66.pn,467,,,
57,1,20170702_170622,72.pn,518,1,,
58,1,20180629_163355,44.pn,51,,,
58,2,20180629_163355,44.pn,105,,,
58,3,20180629_163355,44.pn,112,,,
58,4,20180629_163355,44.pn,463,,,
58,5,20180629_163355,44.pn,262,,,
58,6,20180629_163355,44.pn,488,,,
58,7,20180629_163355,44.pn,538,,,
58,8,20180629_163355,44.pn,632,,,
58,9,20180629_163355,44.pn,617,,,
58,10,20180629_163355,44.pn,759,,,
59,1,20160802_155938,31.pn,121,,,
59,2,20160802_155938,31.pn,226,,,
59,3,20160802_155938,31.pn,147,,,
59,4,20160802_155938,31.pn,844,,,
60,1,20150902_232933,85.pn,114,2,,
60,2,20150902_232933,85.pn,48,,,
60,3,20150902_232933,85.pn,42,,,
60,4,20150902_232933,85.pn,152,,,
60,5,20150902_232933,85.pn,217,,,
60,6,20150902_232933,85.pn,280,,,
60,7,20150902_232933,85.pn,409,,,
60,8,20150902_232933,85.pn,513,,,
60,9,20150902_232933,85.pn,500,,,
60,10,20150902_232933,85.pn,560,2,,
60,11,20150902_232933,85.pn,585,,,
60,12,20150902_232933,85.pn,593,,,
60,13,20150902_232933,85.pn,601,,,
60,14,20150902_232933,85.pn,650,,,
60,15,20150902_232933,85.pn,739,,,
60,16,20150902_232933,85.pn,746,,,
60,17,20150902_232933,85.pn,805,,,
60,18,20150902_232933,85.pn,759,6,,
60,19,20150902_232933,85.pn,814,,,
61,1,20150915_190334,77.pn,191,,,
61,2,20150915_190334,77.pn,660,,,
61,3,20150915_190334,77.pn,836,,,
61,4,20150915_190334,77.pn,904,,,
61,5,20150915_190334,77.pn,973,,,
61,6,20150915_190334,77.pn,940,,,
61,7,20150915_190334,77.pn,954,,,
62,1,20170714_153824,124.pn,343,2,,
62,2,20170714_153824,124.pn,436,,,
62,3,20170714_153824,124.pn,587,,,
62,4,20170714_153824,124.pn,779,,,
62,5,20170714_153824,124.pn,479,,,
63,1,20180629_154853,89.pn,207,,,
63,2,20180629_154853,89.pn,368,,,
63,3,20180629_154853,89.pn,412,,,
63,4,20180629_154853,89.pn,444,,,
63,5,20180629_154853,89.pn,974,,,
64,1,20160802_165440,79.pn,154,,,
64,2,20160802_165440,79.pn,30,,,
65,1,20150914_132212,52.pn,644,,,
65,2,20150914_132212,52.pn,415,,,
65,3,20150914_132212,52.pn,782,,,
65,4,20150914_132212,52.pn,829,,,
65,5,20150914_132212,52.pn,683,,,
66,1,20170702_162120,91.pn,194,,,
66,2,20170702_162120,91.pn,538,,,
66,3,20170702_162120,91.pn,379,,,
67,1,20170714_160825,90.pn,918,,,
67,2,20170714_160825,90.pn,982,,,
68,1,20170715_124919,126.pn,716,,,
68,2,20170715_124919,126.pn,693,,,
69,1,20180629_162855,8.pn,209,,,
69,2,20180629_162855,8.pn,964,,,
69,3,20180629_162855,8.pn,907,,,
69,4,20180629_162855,8.pn,900,,,
69,5,20180629_162855,8.pn,879,,,
69,6,20180629_162855,8.pn,855,,,
69,7,20180629_162855,8.pn,778,,,
69,8,20180629_162855,8.pn,754,,,
69,9,20180629_162855,8.pn,740,,,
69,10,20180629_162855,8.pn,580,,,
69,11,20180629_162855,8.pn,791,,,
69,12,20180629_162855,8.pn,920,,,
70,1,20180615_203507,55.pn,930,3,,
70,2,20180615_203507,55.pn,182,2,,
70,3,20180615_203507,55.pn,284,,,
70,4,20180615_203507,55.pn,261,,,
70,5,20180615_203507,55.pn,312,,,
70,6,20180615_203507,55.pn,243,3,,
70,7,20180615_203507,55.pn,367,3,,
70,8,20180615_203507,55.pn,985,,,
71,1,20160814_145725,121.pn,308,,,
71,2,20160814_145725,121.pn,470,,,
71,3,20160814_145725,121.pn,327,,,
72,1,20180602_211229,105.pn,215,,,
72,2,20180602_211229,105.pn,232,,,
72,3,20180602_211229,105.pn,917,3,,
72,4,20180602_211229,105.pn,937,3,,
72,5,20180602_211229,105.pn,955,3,,
72,6,20180602_211229,105.pn,994,,,
73,1,20160814_153226,105.pn,510,,,
73,2,20160814_153226,105.pn,745,,,
74,1,20150915_184833,117.pn,38,,,
74,2,20150915_184833,117.pn,82,,,
74,3,20150915_184833,117.pn,179,,,
74,4,20150915_184833,117.pn,405,,,
74,5,20150915_184833,117.pn,365,,,
74,6,20150915_184833,117.pn,470,,,
74,7,20150915_184833,117.pn,514,1,,
74,8,20150915_184833,117.pn,561,,,
74,9,20150915_184833,117.pn,627,,,
74,10,20150915_184833,117.pn,669,,,
74,11,20150915_184833,117.pn,692,,,
74,12,20150915_184833,117.pn,704,,,
74,13,20150915_184833,117.pn,799,,,
75,1,20170730_172907,61.pn,6,2,,
75,2,20170730_172907,61.pn,17,3,,
75,3,20170730_172907,61.pn,28,,,
75,4,20170730_172907,61.pn,79,,,
75,5,20170730_172907,61.pn,96,,,
75,6,20170730_172907,61.pn,111,,,
75,7,20170730_172907,61.pn,128,,,
75,8,20170730_172907,61.pn,164,,,
75,9,20170730_172907,61.pn,174,2,,
75,10,20170730_172907,61.pn,245,,,
75,11,20170730_172907,61.pn,406,,,
75,12,20170730_172907,61.pn,432,,,
75,13,20170730_172907,61.pn,462,,,
75,14,20170730_172907,61.pn,471,,,
75,15,20170730_172907,61.pn,485,,,
75,16,20170730_172907,61.pn,712,,,
75,17,20170730_172907,61.pn,827,,,
75,18,20170730_172907,61.pn,938,,,
75,19,20170730_172907,61.pn,984,,,
76,1,20160830_190459,102.pn,529,,,
76,2,20160830_190459,102.pn,765,,,
76,3,20160830_190459,102.pn,780,,,
76,4,20160830_190459,102.pn,76,,,
76,5,20160830_190459,102.pn,124,1,,
77,1,20150902_232933,68.pn,46,,,
77,2,20150902_232933,68.pn,119,,,
77,3,20150902_232933,68.pn,193,,,
77,4,20150902_232933,68.pn,257,,,
77,5,20150902_232933,68.pn,346,9,,
77,6,20150902_232933,68.pn,288,,,
77,7,20150902_232933,68.pn,739,,,
77,8,20150902_232933,68.pn,981,,,
77,9,20150902_232933,68.pn,602,,,
77,10,20150902_232933,68.pn,494,,,
77,11,20150902_232933,68.pn,575,,,
77,12,20150902_232933,68.pn,552,,,
77,13,20150902_232933,68.pn,877,,,
77,14,20150902_232933,68.pn,426,,,
77,15,20150902_232933,68.pn,461,,,
78,1,20170702_163621,49.pn,228,,,
78,2,20170702_163621,49.pn,302,,,
78,3,20170702_163621,49.pn,284,,,
78,4,20170702_163621,49.pn,376,,,
78,5,20170702_163621,49.pn,265,,,
79,1,20150902_231933,105.pn,181,,,
79,2,20150902_231933,105.pn,312,,,
79,3,20150902_231933,105.pn,408,,,
79,4,20150902_231933,105.pn,416,,,
79,5,20150902_231933,105.pn,426,,,
79,6,20150902_231933,105.pn,474,,,
79,7,20150902_231933,105.pn,496,,,
79,8,20150902_231933,105.pn,515,,,
79,9,20150902_231933,105.pn,574,,,
79,10,20150902_231933,105.pn,591,,,
79,11,20150902_231933,105.pn,213,3,,
79,12,20150902_231933,105.pn,229,2,,
79,13,20150902_231933,105.pn,273,,,
79,14,20150902_231933,105.pn,240,,,
80,1,20170730_164905,86.pn,117,,,
80,2,20170730_164905,86.pn,419,,,
80,3,20170730_164905,86.pn,480,,,
80,4,20170730_164905,86.pn,539,,,
80,5,20170730_164905,86.pn,769,,,
80,6,20170730_164905,86.pn,637,,,
80,7,20170730_164905,86.pn,110,,,
80,8,20170730_164905,86.pn,876,,,
81,1,20180629_162855,8.pn,778,,,
81,2,20180629_162855,8.pn,879,,,
81,3,20180629_162855,8.pn,855,,,
81,4,20180629_162855,8.pn,900,,,
81,5,20180629_162855,8.pn,907,,,
81,6,20180629_162855,8.pn,754,,,
81,7,20180629_162855,8.pn,740,,,
81,8,20180629_162855,8.pn,790,,,
81,9,20180629_162855,8.pn,208,,,
82,1,20160802_163940,143.pn,440,,,
82,2,20160802_163940,143.pn,963,,,
83,1,20170730_171907,111.pn,19,,,
83,2,20170730_171907,111.pn,38,,,
83,3,20170730_171907,111.pn,48,,,
83,4,20170730_171907,111.pn,62,,,
83,5,20170730_171907,111.pn,110,,,
83,6,20170730_171907,111.pn,121,,,
83,7,20170730_171907,111.pn,130,,,
83,8,20170730_171907,111.pn,187,,,
83,9,20170730_171907,111.pn,223,,,
83,10,20170730_171907,111.pn,389,,,
83,11,20170730_171907,111.pn,408,,,
83,12,20170730_171907,111.pn,601,,,
83,13,20170730_171907,111.pn,648,,,
83,14,20170730_171907,111.pn,653,,,
83,15,20170730_171907,111.pn,725,,,
83,16,20170730_171907,111.pn,750,,,
83,17,20170730_171907,111.pn,784,,,
83,18,20170730_171907,111.pn,812,,,
83,19,20170730_171907,111.pn,841,,,
83,20,20170730_171907,111.pn,923,,,
83,21,20170730_171907,111.pn,935,,,
83,22,20170730_171907,111.pn,945,,,
83,23,20170730_171907,111.pn,145,1,,
